index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
0,Twenty Five MilesEdwin Starr,5/25/2021 5:18:00 PM,Edwin Starr,25 Miles,Twenty Five Miles,5/25/2021 11:18:00 PM
1,Devil's EyesGreyhounds,5/25/2021 5:15:00 PM,Greyhounds,Change of Pace,Devil's Eyes,5/25/2021 11:15:00 PM
2,Pussy and PizzaMurs,5/25/2021 5:12:00 PM,Murs,Have a Nice Life,Pussy and Pizza,5/25/2021 11:12:00 PM
3,Opera (feat. Method Man)King Green,5/25/2021 5:08:00 PM,King Green,Opera (feat. Method Man),Opera (feat. Method Man),5/25/2021 11:08:00 PM
4,Sweet PotatoMouthe,5/25/2021 5:05:00 PM,Mouthe,NUVO,Sweet Potato,5/25/2021 11:05:00 PM
5,Meanwhile Back in the CityThe Presidents of the United States of America,5/25/2021 5:01:00 PM,The Presidents of the United States of America,Freaked Out And Small,Meanwhile Back in the City,5/25/2021 11:01:00 PM
6,SpinachHoney Hounds,5/25/2021 4:56:00 PM,Honey Hounds,No Sleep,Spinach,5/25/2021 10:56:00 PM
7,All I KnowMoontricks,5/25/2021 4:50:00 PM,Moontricks,All I Know,All I Know,5/25/2021 10:50:00 PM
8,Our Special PlaceThe Heavy,5/25/2021 4:46:00 PM,The Heavy,Great Vengeance and Furious Fire,Our Special Place,5/25/2021 10:46:00 PM
9,Moreland Ave BluesDaily Bread,5/25/2021 4:43:00 PM,Daily Bread,Big Beat Ignition: Denver,Moreland Ave Blues,5/25/2021 10:43:00 PM
10,Make Peace and be FreePerfect Confusion,5/25/2021 4:39:00 PM,Perfect Confusion,Perfect Confusion,Make Peace and be Free,5/25/2021 10:39:00 PM
11,Put It In The BoogieZach Deputy,5/25/2021 4:35:00 PM,Zach Deputy,Wash It in the Water,Put It In The Boogie,5/25/2021 10:35:00 PM
12,Saving GraceTom Petty,5/25/2021 3:59:00 PM,Tom Petty,Highway Companion,Saving Grace,5/25/2021 9:59:00 PM
13,Wing$Macklemore,5/25/2021 2:09:00 PM,Macklemore,The Heist (Deluxe Edition),Wing$,5/25/2021 8:09:00 PM
14,Jimmy Iovine (feat. Ab-Soul)Macklemore,5/25/2021 2:05:00 PM,Macklemore,The Heist (Deluxe Edition),Jimmy Iovine (feat. Ab-Soul),5/25/2021 8:05:00 PM
15,White Walls (feat. ScHoolBoy Q & Hollis)Macklemore,5/25/2021 2:01:00 PM,Macklemore,The Heist (Deluxe Edition),White Walls (feat. ScHoolBoy Q & Hollis),5/25/2021 8:01:00 PM
16,Bombom (feat. The Teaching)Macklemore,5/25/2021 1:56:00 PM,Macklemore,The Heist (Deluxe Edition),Bombom (feat. The Teaching),5/25/2021 7:56:00 PM
17,Neon Cathedral (feat. Allen Stone)Macklemore,5/25/2021 1:52:00 PM,Macklemore,The Heist (Deluxe Edition),Neon Cathedral (feat. Allen Stone),5/25/2021 7:52:00 PM
18,Make the MoneyMacklemore,5/25/2021 1:48:00 PM,Macklemore,The Heist (Deluxe Edition),Make the Money,5/25/2021 7:48:00 PM
19,Same Love (feat. Mary Lambert)Macklemore,5/25/2021 1:43:00 PM,Macklemore,The Heist (Deluxe Edition),Same Love (feat. Mary Lambert),5/25/2021 7:43:00 PM
20,Thin Line (feat. Buffalo Madonna)Macklemore,5/25/2021 1:38:00 PM,Macklemore,The Heist (Deluxe Edition),Thin Line (feat. Buffalo Madonna),5/25/2021 7:38:00 PM
21,Thrift Shop (feat. Wanz)Macklemore,5/25/2021 1:34:00 PM,Macklemore,The Heist (Deluxe Edition),Thrift Shop (feat. Wanz),5/25/2021 7:34:00 PM
22,Can't Hold Us (feat. Ray Dalton)Macklemore,5/25/2021 1:30:00 PM,Macklemore,The Heist (Deluxe Edition),Can't Hold Us (feat. Ray Dalton),5/25/2021 7:30:00 PM
23,Ten Thousand HoursMacklemore,5/25/2021 1:26:00 PM,Macklemore,The Heist (Deluxe Edition),Ten Thousand Hours,5/25/2021 7:26:00 PM
